,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,14.07,76.91,29.21,32.22,15.67,71.22,72.54,77.55,15.49,16.43,83.98,48.4,60.62,85.09,78.78,83.04,88.04,88.19,91.15,88.96,83.75,90.36,92.58,39.8,100.0,82.5,87.81,92.33,100.0,86.19,99.15,83.8,89.27,100.0,73.96,88.64,93.44,96.28,72.92,91.9,94.41,95.53,82.58,93.79,83.25,85.14,95.34,88.64,90.07,86.82,94.83,81.41,96.61,83.21,88.71
1,2.56,30.77,74.84,34.49,27.89,91.47,84.76,72.63,91.96,15.62,92.63,80.73,87.6,86.64,93.95,86.26,71.71,73.7,85.64,89.93,76.2,99.05,93.44,87.81,74.54,94.33,94.83,99.15,83.8,81.7,90.96,94.41,42.37,97.98,96.28,91.24,85.14,84.9,91.35,90.81,89.51,93.84,73.94,88.64,100.0,83.79,92.49,95.53,73.96,85.26,93.28,67.24,50.15,91.18,100.0
2,61.89,62.9,28.86,21.27,19.87,66.74,61.29,81.74,62.81,40.12,83.82,91.34,74.43,92.43,75.42,93.27,71.72,93.82,91.08,87.84,92.6,86.92,89.45,15.34,81.48,37.47,90.89,93.79,88.59,64.98,95.93,92.24,55.72,84.04,64.57,93.3,84.39,27.37,94.67,98.69,70.78,92.9,96.74,94.47,92.97,92.61,93.65,89.29,96.3,89.8,88.84,90.31,92.52,92.65,90.36
3,75.36,67.97,66.25,48.06,15.72,92.09,65.74,66.93,80.68,71.21,93.05,91.17,27.39,92.7,71.12,66.86,92.77,76.46,67.59,92.52,78.08,82.41,92.96,80.59,80.85,87.57,91.47,81.84,97.45,91.4,88.9,98.53,97.42,84.04,94.82,6.14,96.6,87.68,88.59,98.2,96.76,96.49,93.7,93.27,15.61,85.43,90.89,91.35,92.03,98.69,92.9,90.03,96.42,93.65,89.8
4,5.6,74.79,65.61,30.09,20.85,70.16,57.94,63.78,72.45,52.13,91.69,72.78,61.85,69.6,43.0,57.48,81.73,25.72,83.05,83.02,93.44,74.19,89.22,91.88,29.98,91.93,91.32,86.25,94.03,83.51,86.82,73.01,90.96,91.24,94.41,94.33,91.89,99.15,97.98,66.89,93.31,92.03,94.83,99.05,96.3,89.74,91.28,98.42,85.57,94.32,92.92,93.45,88.64,96.48,91.86
5,87.48,58.61,90.34,6.28,14.16,52.4,27.47,40.03,68.92,23.24,47.13,88.97,33.88,75.62,90.64,86.6,67.97,63.61,81.05,20.14,91.27,75.35,91.45,92.77,82.69,37.65,88.37,91.45,74.99,82.14,90.62,90.57,73.77,93.06,77.21,90.55,82.88,85.95,77.72,85.96,82.32,90.79,92.65,72.25,86.97,90.69,88.09,91.83,93.73,88.64,87.0,90.31,90.03,91.08,91.99
6,90.3,69.58,75.99,93.12,36.68,3.22,4.47,95.57,92.96,95.65,96.38,90.21,74.15,92.69,86.6,91.58,91.47,54.3,87.89,17.09,86.82,95.88,80.59,88.97,67.97,93.94,96.05,85.58,91.17,94.64,84.02,82.69,92.52,92.01,92.03,75.98,96.57,91.47,84.95,92.77,96.89,87.88,97.83,29.57,96.14,97.29,81.09,50.79,65.03,87.87,92.63,46.79,83.79,74.43,94.07
7,12.89,41.08,96.32,14.67,17.84,90.21,84.51,96.7,92.89,70.55,92.8,96.6,66.32,95.95,91.0,15.35,93.7,93.65,78.03,86.4,85.43,63.28,87.48,95.31,94.47,97.42,85.88,93.94,91.35,98.69,92.9,98.2,81.77,93.82,92.33,88.59,88.74,93.27,89.29,93.05,96.49,93.82,90.92,94.82,96.74,27.39,85.73,94.15,91.18,89.8,94.67,21.41,98.53,97.45,95.85
8,5.84,92.42,15.29,34.16,11.48,91.73,98.42,89.27,87.12,15.9,92.92,72.9,96.48,93.55,85.92,94.64,73.2,82.19,96.61,88.33,92.77,96.97,86.19,70.45,96.19,88.64,93.67,82.14,95.96,30.62,90.21,91.86,69.93,48.16,62.77,93.45,99.15,96.3,87.5,80.23,90.96,91.28,93.44,97.98,94.32,94.83,94.41,85.57,84.9,94.85,99.05,94.7,92.59,95.53,86.44
9,73.8,81.28,93.61,44.32,22.2,95.5,84.34,30.29,91.7,93.67,45.58,95.85,83.93,73.95,67.97,95.8,57.39,75.0,82.69,15.29,93.86,87.65,55.66,88.97,90.0,92.69,93.67,93.81,94.82,68.57,91.47,61.35,94.27,95.06,95.34,90.94,72.63,93.44,81.41,68.79,90.89,51.22,29.57,27.47,18.55,55.27,86.28,20.51,92.77,77.13,91.1,91.37,90.9,60.54,65.8
10,44.98,82.54,3.78,23.65,46.61,17.9,81.91,62.34,79.46,92.96,96.25,88.33,71.34,86.44,69.9,87.52,70.1,93.55,94.85,9.76,92.59,79.77,96.61,80.34,22.12,84.72,96.3,94.6,86.19,70.65,94.39,98.42,96.48,94.32,96.97,93.45,95.97,94.7,92.42,92.77,91.77,93.06,88.64,94.71,94.13,95.78,94.13,93.44,97.09,95.49,96.15,72.9,95.86,18.55,94.38
11,76.51,94.64,73.54,17.46,17.91,95.88,92.92,91.73,92.03,96.48,3.57,90.99,96.05,98.42,70.45,91.95,90.6,92.42,96.3,16.72,88.37,93.45,90.21,94.32,85.92,95.65,92.01,91.28,88.64,88.33,96.38,93.94,93.31,93.12,94.39,90.21,95.57,25.72,81.09,96.14,88.5,84.72,92.77,92.59,93.55,75.98,94.15,90.64,93.44,96.25,87.6,99.15,84.9,90.29,94.85
12,86.54,84.49,61.38,14.58,15.13,73.08,92.52,9.76,83.75,73.96,81.73,94.03,92.82,93.28,90.07,86.92,90.96,83.05,94.41,15.09,85.76,92.08,88.64,92.58,11.22,89.74,94.57,92.07,99.15,85.38,89.51,94.83,96.28,100.0,85.26,91.18,99.05,96.48,95.53,83.8,88.58,83.98,95.97,96.61,86.19,94.39,94.32,86.12,96.97,78.09,92.03,94.85,94.6,91.35,86.44
13,52.95,32.03,17.77,41.29,23.22,78.44,50.56,50.2,31.45,55.28,66.86,78.31,82.77,55.72,86.92,1.96,87.49,84.94,90.03,85.85,80.55,98.2,93.43,88.37,85.21,93.27,91.35,90.96,90.92,94.82,93.7,91.18,86.64,91.73,56.2,97.42,87.35,95.85,71.78,87.3,96.6,96.49,97.45,94.33,89.19,83.79,52.4,96.49,87.6,90.3,98.53,87.68,88.99,89.74,91.24
14,94.26,60.68,66.72,76.39,16.5,66.86,84.74,58.43,94.03,89.54,2.46,93.44,90.96,94.41,15.09,91.93,86.92,89.74,99.15,66.89,94.83,91.18,93.44,97.98,96.28,91.24,99.05,84.9,95.53,90.81,93.95,42.37,84.23,96.0,91.35,91.32,81.29,85.14,92.77,93.79,93.06,88.64,96.48,95.34,82.14,94.39,95.97,92.42,94.32,96.61,87.12,88.58,91.07,93.55,94.85
15,37.85,13.84,9.74,14.02,16.18,16.25,91.06,84.49,14.73,22.27,81.21,27.03,93.82,88.74,35.99,27.39,87.48,64.5,95.31,93.05,96.7,91.65,80.68,91.57,98.69,93.94,93.65,89.29,94.47,92.25,85.73,82.99,92.65,77.63,89.8,63.28,48.82,91.99,91.45,87.76,91.45,92.52,94.01,92.97,96.04,86.11,94.15,95.06,88.18,89.09,90.39,96.74,90.53,90.57,93.28
