Entry,Anode/Cathode,Solvent,Electrolyte,Current/Potential,Yield (%)
1,Pt/Pt,AcOH,K3PO4,0.3 mA,17
2,GF/Pt,AcOH: TFE(1: 1),nBu4NOAc,0.3 mA,0
3,BDD/Pt,AcOH: TFE(1: 1),LiClO4,0.9 mA,13
4,Fe/Pt,AcOH: MeCN(1: 1),LiOAc,1.2 mA,0
5,Pt/GF,TFE,NaO2CAd,1.0 V,0
6,GF/GF,TFE: EtOH(1: 1),NaOAc,1.5 V,0
7,BDD/GF,TFE: MeCN(1: 1),NaOPiv,0.3 mA,3
8,Fe/GF,EtOH,nBu4NOAc,0.6 mA,0
9,Pt/BDD,EtOH: MeCN(1: 1),nBu4NPF6,0.9 mA,0
10,GF/BDD,MeCN,K3PO4,1.2 mA,0
11,BDD/BDD,AcOH,KOAc,1.0 V,5
12,Fe/BDD,AcOH: TFE(1: 1),LiClO4,1.5 V,3
13,Pt/Fe,AcOH: EtOH(1: 1),LiOAc,0.3 mA,3
14,GF/Fe,AcOH: MeCN(1: 1),NaO2CAd,0.6 mA,7
15,BDD/Fe,TFE,NaOAc,0.9 mA,0
16,Fe/Fe,TFE: EtOH(1: 1),NaOPiv,1.2 mA,0
17,BDD/BDD,AcOH: TFE(1: 1),NaOPiv,0.6 mA,19
18,GF/GF,AcOH: TFE(1: 1),K3PO4,1.0 V,18
19,GF/Pt,AcOH,NaOPiv,0.9 mA,16
20,BDD/GF,AcOH,LiClO4,0.6 mA,25
21,GF/GF,AcOH: EtOH(1: 1),nBu4NPF6,0.6 mA,12
22,Pt/GF,TFE: EtOH(1: 1),K3PO4,0.6 mA,0
23,Pt/GF,AcOH,nBu4NPF6,1.5 V,11
24,BDD/GF,AcOH: EtOH(1: 1),K3PO4,0.9 mA,5
25,BDD/GF,AcOH: TFE(1: 1),nBu4NPF6,1.2 mA,8
26,BDD/Pt,AcOH,NaO2CAd,1.2 mA,17
27,GF/Pt,AcOH: TFE(1: 1),LiClO4,0.6 mA,15
28,GF/Pt,AcOH,K3PO4,0.6 mA,28
29,BDD/GF,AcOH: TFE(1: 1),K3PO4,0.6 mA,30
30,BDD/BDD,AcOH,NaO2CAd,0.6 mA,21
31,GF/Fe,AcOH,LiOAc,0.6 mA,23
32,GF/BDD,AcOH,NaOAc,0.6 mA,24
33,BDD/Fe,AcOH,NaOPiv,0.6 mA,18
34,BDD/Pt,AcOH,nBu4NPF6,0.6 mA,6
35,GF/GF,AcOH: TFE(1: 1),LiOAc,0.6 mA,12
36,Fe/GF,AcOH: TFE(1: 1),NaOAc,0.6 mA,37
37,GF/GF,AcOH,KOAc,0.6 mA,13
38,Pt/GF,AcOH: TFE(1: 1),NaO2CAd,0.6 mA,49
39,BDD/BDD,AcOH: TFE(1: 1),NaO2CAd,1.0 V,34
40,BDD/GF,AcOH: TFE(1: 1),NaOAc,1.0 V,16
41,BDD/Pt,AcOH: TFE(1: 1),KOAc,0.6 mA,24
42,BDD/Fe,AcOH: TFE(1: 1),NaO2CAd,0.9 mA,26
43,BDD/GF,AcOH: TFE(1: 1),NaO2CAd,0.3 mA,25
44,GF/GF,AcOH: TFE(1: 1),NaO2CAd,1.2 mA,23
45,Pt/BDD,AcOH: TFE(1: 1),NaO2CAd,1.5 V,21
46,Pt/GF,AcOH: TFE(1: 1),NaOAc,0.3 mA,40
47,GF/Pt,AcOH: TFE(1: 1),NaOPiv,1.2 mA,31
48,GF/Pt,AcOH: TFE(1: 1),K3PO4,0.9 mA,35
49,GF/Pt,AcOH: TFE(1: 1),KOAc,1.0 V,34
50,GF/Pt,AcOH: TFE(1: 1),LiOAc,1.5 V,24
51,BDD/BDD,AcOH: TFE(1: 1),NaOAc,0.9 mA,18
52,BDD/Pt,AcOH: TFE(1: 1),NaOAc,1.5 V,27
,GF/Pt,AcOH: TFE(1: 1),NaOPiv,0.3 mA,70
,GF/Pt,AcOH: TFE(1: 1),NaOPiv,1.0 V,41
,GF/Pt,AcOH: TFE(1: 1),NaOPiv,0.6 mA,50
,GF/Pt,AcOH: TFE(1: 1),K3PO4,0.3 mA,51
,GF/Pt,AcOH: TFE(1: 1),K3PO4,1.0 V,12
,GF/Pt,AcOH: TFE(1: 1),K3PO4,0.6 mA,35
,GF/Pt,AcOH: TFE(1: 1),KOAc,0.3 mA,63
,GF/Pt,AcOH: TFE(1: 1),KOAc,0.6 mA,47
,GF/Pt,AcOH: TFE(1: 1),LiClO4,0.3 mA,55
,GF/Pt,AcOH: TFE(1: 1),LiClO4,1.0 V,3
,GF/Pt,AcOH: TFE(1: 1),LiOAc,0.3 mA,58
,GF/Pt,AcOH: TFE(1: 1),LiOAc,1.0 V,48
,GF/Pt,AcOH: TFE(1: 1),LiOAc,0.6 mA,40
,GF/Pt,AcOH: TFE(1: 1),NaO2CAd,0.3 mA,69
,GF/Pt,AcOH: TFE(1: 1),NaO2CAd,1.0 V,42
,GF/Pt,AcOH: TFE(1: 1),NaO2CAd,0.6 mA,43
