Entry,Anode/Cathode,Solvent,Electrolyte,Current/Potential
0,GF/Pt,AcOH: TFE(1: 1),NaOPiv,0.3 mA
1,GF/Pt,AcOH: TFE(1: 1),NaOPiv,0.9 mA
2,GF/Pt,AcOH: TFE(1: 1),NaOPiv,1.2 mA
3,GF/Pt,AcOH: TFE(1: 1),NaOPiv,1.0 V
4,GF/Pt,AcOH: TFE(1: 1),NaOPiv,1.5 V
5,GF/Pt,AcOH: TFE(1: 1),NaOPiv,0.6 mA
6,GF/Pt,AcOH: TFE(1: 1),K3PO4,0.3 mA
7,GF/Pt,AcOH: TFE(1: 1),K3PO4,0.9 mA
8,GF/Pt,AcOH: TFE(1: 1),K3PO4,1.2 mA
9,GF/Pt,AcOH: TFE(1: 1),K3PO4,1.0 V
10,GF/Pt,AcOH: TFE(1: 1),K3PO4,1.5 V
11,GF/Pt,AcOH: TFE(1: 1),K3PO4,0.6 mA
12,GF/Pt,AcOH: TFE(1: 1),KOAc,0.3 mA
13,GF/Pt,AcOH: TFE(1: 1),KOAc,0.9 mA
14,GF/Pt,AcOH: TFE(1: 1),KOAc,1.2 mA
15,GF/Pt,AcOH: TFE(1: 1),KOAc,1.0 V
16,GF/Pt,AcOH: TFE(1: 1),KOAc,1.5 V
17,GF/Pt,AcOH: TFE(1: 1),KOAc,0.6 mA
18,GF/Pt,AcOH: TFE(1: 1),LiClO4,0.3 mA
19,GF/Pt,AcOH: TFE(1: 1),LiClO4,0.9 mA
20,GF/Pt,AcOH: TFE(1: 1),LiClO4,1.2 mA
21,GF/Pt,AcOH: TFE(1: 1),LiClO4,1.0 V
22,GF/Pt,AcOH: TFE(1: 1),LiClO4,1.5 V
23,GF/Pt,AcOH: TFE(1: 1),LiClO4,0.6 mA
24,GF/Pt,AcOH: TFE(1: 1),LiOAc,0.3 mA
25,GF/Pt,AcOH: TFE(1: 1),LiOAc,0.9 mA
26,GF/Pt,AcOH: TFE(1: 1),LiOAc,1.2 mA
27,GF/Pt,AcOH: TFE(1: 1),LiOAc,1.0 V
28,GF/Pt,AcOH: TFE(1: 1),LiOAc,1.5 V
29,GF/Pt,AcOH: TFE(1: 1),LiOAc,0.6 mA
30,GF/Pt,AcOH: TFE(1: 1),NaO2CAd,0.3 mA
31,GF/Pt,AcOH: TFE(1: 1),NaO2CAd,0.9 mA
32,GF/Pt,AcOH: TFE(1: 1),NaO2CAd,1.2 mA
33,GF/Pt,AcOH: TFE(1: 1),NaO2CAd,1.0 V
34,GF/Pt,AcOH: TFE(1: 1),NaO2CAd,1.5 V
35,GF/Pt,AcOH: TFE(1: 1),NaO2CAd,0.6 mA
36,GF/Pt,AcOH: TFE(1: 1),NaOAc,0.3 mA
37,GF/Pt,AcOH: TFE(1: 1),NaOAc,0.9 mA
38,GF/Pt,AcOH: TFE(1: 1),NaOAc,1.2 mA
39,GF/Pt,AcOH: TFE(1: 1),NaOAc,1.0 V
40,GF/Pt,AcOH: TFE(1: 1),NaOAc,1.5 V
41,GF/Pt,AcOH: TFE(1: 1),NaOAc,0.6 mA
42,GF/Pt,AcOH: TFE(1: 1),nBu4NOAc,0.3 mA
43,GF/Pt,AcOH: TFE(1: 1),nBu4NOAc,0.9 mA
44,GF/Pt,AcOH: TFE(1: 1),nBu4NOAc,1.2 mA
45,GF/Pt,AcOH: TFE(1: 1),nBu4NOAc,1.0 V
46,GF/Pt,AcOH: TFE(1: 1),nBu4NOAc,1.5 V
47,GF/Pt,AcOH: TFE(1: 1),nBu4NOAc,0.6 mA
