Solvent selections,XLogP,ExactMass,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,HeavyAtomCount,Volume3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,FeatureCount3D,FeatureAcceptorCount3D,FeatureDonorCount3D,FeatureAnionCount3D,EffectiveRotorCount3D,XLogP,ExactMass,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,HeavyAtomCount,Volume3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,FeatureCount3D,FeatureAcceptorCount3D,FeatureDonorCount3D,FeatureAnionCount3D,EffectiveRotorCount3D
AcOH,-0.2,60.02112937,37.3,31,1,2,4,47.7,1.33,1.11,0.56,3,2,0,1,0,-0.2,60.02112937,37.3,31,1,2,4,47.7,1.33,1.11,0.56,3,2,0,1,0
TFE,0.4,100.0135992,20.2,38,1,4,6,61.6,1.7,0.93,0.86,2,1,1,0,1,0.4,100.0135992,20.2,38,1,4,6,61.6,1.7,0.93,0.86,2,1,1,0,1
EtOH,-0.1,46.04186481,20.2,2,1,1,3,41.5,1.48,0.75,0.58,2,1,1,0,0,-0.1,46.04186481,20.2,2,1,1,3,41.5,1.48,0.75,0.58,2,1,1,0,0
MeCN,0,41.0265491,23.8,29,0,1,3,38.3,1.69,0.59,0.59,1,1,0,0,0,0,41.0265491,23.8,29,0,1,3,38.3,1.69,0.59,0.59,1,1,0,0,0
AcOH: TFE(1: 1),-0.2,60.02112937,37.3,31,1,2,4,47.7,1.33,1.11,0.56,3,2,0,1,0,0.4,100.0135992,20.2,38,1,4,6,61.6,1.7,0.93,0.86,2,1,1,0,1
AcOH: EtOH(1: 1),-0.2,60.02112937,37.3,31,1,2,4,47.7,1.33,1.11,0.56,3,2,0,1,0,-0.1,46.04186481,20.2,2,1,1,3,41.5,1.48,0.75,0.58,2,1,1,0,0
AcOH: MeCN(1: 1),-0.2,60.02112937,37.3,31,1,2,4,47.7,1.33,1.11,0.56,3,2,0,1,0,0,41.0265491,23.8,29,0,1,3,38.3,1.69,0.59,0.59,1,1,0,0,0
TFE: EtOH(1: 1),0.4,100.0135992,20.2,38,1,4,6,61.6,1.7,0.93,0.86,2,1,1,0,1,-0.1,46.04186481,20.2,2,1,1,3,41.5,1.48,0.75,0.58,2,1,1,0,0
TFE: MeCN(1: 1),0.4,100.0135992,20.2,38,1,4,6,61.6,1.7,0.93,0.86,2,1,1,0,1,0,41.0265491,23.8,29,0,1,3,38.3,1.69,0.59,0.59,1,1,0,0,0
EtOH: MeCN(1: 1),-0.1,46.04186481,20.2,2,1,1,3,41.5,1.48,0.75,0.58,2,1,1,0,0,0,41.0265491,23.8,29,0,1,3,38.3,1.69,0.59,0.59,1,1,0,0,0
